x,y,z,qx,qy,qz,qw
-5.762761924415826797e-03,1.802399987354874611e-03,3.038330934941768646e-03,-7.022718863149913365e-03,8.861068049702542151e-03,-1.216970943935734940e-04,9.999368468847025238e-01
-4.901224747300148010e-03,1.965967472642660141e-03,2.359333215281367302e-03,-7.088590972890197739e-03,8.797656496056516229e-03,-8.440330895961903584e-05,9.999369884546643883e-01
-5.056176334619522095e-03,1.685561263002455235e-03,2.948210574686527252e-03,-7.051701299747722800e-03,8.763336596684025148e-03,-1.354742932476852874e-04,9.999376143426768060e-01
-6.276496220380067825e-03,1.248789834789931774e-03,2.207587240263819695e-03,-7.062801623841727036e-03,8.787023506182952901e-03,-6.288717291525701945e-05,9.999373982623358526e-01
-5.496993660926818848e-03,1.334963017143309116e-03,2.306033857166767120e-03,-7.049734981909723877e-03,8.786069459621315483e-03,-6.136543953592488827e-05,9.999375398322196684e-01
-4.785768687725067139e-03,3.034683642908930779e-03,3.354595508426427841e-03,-6.906140638288377730e-03,8.773725108185290167e-03,-2.673873104790046003e-04,9.999386351353803937e-01
-5.393604747951030731e-03,2.445873571559786797e-03,3.166306996718049049e-03,-6.924050410139644639e-03,8.840953435026711188e-03,-1.902182558294696155e-04,9.999379570907080961e-01
-4.881341475993394852e-03,4.155417555011808872e-04,2.186954021453857422e-03,-7.051162046946928691e-03,8.742660804699089669e-03,-1.696291240954481627e-04,9.999379421886221975e-01
-5.428966134786605835e-03,1.162044587545096874e-03,3.016639035195112228e-03,-7.004937085701719302e-03,8.863670422213596259e-03,-2.397067225017627211e-04,9.999372566924319417e-01
-5.071063991636037827e-03,1.513631432317197323e-03,2.799386391416192055e-03,-7.074289806698168433e-03,8.877772300994724725e-03,-3.418466813123409963e-04,9.999366978636683445e-01
-4.200027324259281158e-03,1.456328318454325199e-03,3.778464393690228462e-03,-6.944136067495530924e-03,8.895881972732947590e-03,-4.257874670743480106e-04,9.999373908112887399e-01
-3.394990693777799606e-03,1.415835460647940636e-03,3.502976614981889725e-03,-6.902353751499292443e-03,8.996015240217694262e-03,-4.728956258498243082e-04,9.999367649231364341e-01
-3.822636790573596954e-03,3.145805094391107559e-03,2.665293170139193535e-03,-7.004628621674761739e-03,8.825380520643013801e-03,-5.327402601826388600e-04,9.999376143426768060e-01
-2.026009373366832733e-03,2.760874340310692787e-03,2.713561989367008209e-03,-7.053315185649874919e-03,8.851514952658750060e-03,-5.260736478858414958e-04,9.999370480630633828e-01
-3.109520534053444862e-03,3.153726924210786819e-03,3.321946598589420319e-03,-7.029059596183470475e-03,8.949844009069026982e-03,-4.383083822576931015e-04,9.999363327620406361e-01
-4.651288036257028580e-03,2.432807959849014878e-04,3.438775194808840752e-03,-7.011202459230926089e-03,8.948392380550092631e-03,-2.620238366891338377e-04,9.999364966852368752e-01
-2.535292878746986389e-03,1.054804888553917408e-03,1.989768818020820618e-03,-7.045579679618237286e-03,8.724235976872919684e-03,-2.165160787938564613e-04,9.999382923875815843e-01
-2.630694303661584854e-03,4.436493327375501394e-04,2.670338144525885582e-03,-7.029277972745632749e-03,8.783960204152362061e-03,-2.007829019629252905e-04,9.999379272865361878e-01
-1.906076679006218910e-03,2.786354860290884972e-03,1.979388529434800148e-03,-7.015416518367713350e-03,8.697182212141734217e-03,-3.620170693174796128e-04,9.999387170967931615e-01
-1.874152803793549538e-03,3.319404786452651024e-03,1.950039528310298920e-03,-7.024400579540479930e-03,8.663597016657042377e-03,-3.164087278238982741e-04,9.999390523934117425e-01
-1.828166772611439228e-03,2.382121281698346138e-03,1.783461077138781548e-03,-7.079743152739757794e-03,8.725444356334459070e-03,-3.441614493583921306e-04,9.999381955240519426e-01
-4.768710350617766380e-04,8.626243215985596180e-04,1.346203847788274288e-03,-7.196422125545868902e-03,8.601916553244628311e-03,-2.242683726466460591e-04,9.999384414083780648e-01
-2.220331458374857903e-03,2.145617268979549408e-03,1.962100854143500328e-03,-6.939185167310406473e-03,8.686336084228560989e-03,-5.367769530178495986e-05,9.999394920043636059e-01
-1.533183502033352852e-03,1.447916496545076370e-03,2.133061410859227180e-03,-6.950411106668329640e-03,8.729706907651039668e-03,-7.952297246878646205e-05,9.999389853340970857e-01
-2.497175475582480431e-03,3.307093633338809013e-03,2.081628423184156418e-03,-7.079794138431158394e-03,8.636575040124043479e-03,-1.465488474771100343e-04,9.999388214113088535e-01
-4.846506286412477493e-03,2.021333202719688416e-03,1.586872851476073265e-03,-7.087347232968731030e-03,8.640991002592596920e-03,-1.559108057824831533e-04,9.999386798416064481e-01
-3.166592214256525040e-03,1.728569739498198032e-03,1.631887047551572323e-03,-7.092464621289705159e-03,8.672489575368914211e-03,-1.114136181548275897e-04,9.999383296427827306e-01
-3.257833886891603470e-03,9.038372663781046867e-04,2.187105594202876091e-03,-7.076439498822964178e-03,8.673295361625017394e-03,-2.124985551231064833e-04,9.999383668979826556e-01
-1.953851664438843727e-03,2.778037684038281441e-03,2.012719865888357162e-03,-7.100787697816531886e-03,8.640409424737810831e-03,-2.227531233610144238e-04,9.999384563104565249e-01
-2.119340419769287109e+00,5.626737117767333984e+00,6.939745903015136719e+00,-1.328984218778897670e-02,2.926652710584053130e-02,-7.046188350049416016e-01,7.088578606530767656e-01
-2.111066341400146484e+00,5.627490520477294922e+00,6.901810646057128906e+00,-1.704626208344233243e-02,2.888058395216890409e-02,-7.048518664479687112e-01,7.085615409814258747e-01
-2.074872732162475586e+00,5.622087001800537109e+00,6.846349716186523438e+00,-2.403277812457639204e-02,3.930061737248360942e-02,-7.034584414091059612e-01,7.092421505745043486e-01
-2.018936157226562500e+00,5.617258548736572266e+00,6.817023277282714844e+00,-2.686536597991924166e-02,4.433712212815257847e-02,-7.043343020099204210e-01,7.079731098664526767e-01
-1.940824389457702637e+00,5.624689102172851562e+00,6.781256198883056641e+00,-2.970693688157504883e-02,4.648747682749733434e-02,-7.045971188015998088e-01,7.074599258221471176e-01
-1.873320579528808594e+00,5.637752056121826172e+00,6.747155189514160156e+00,-3.145628923787101294e-02,4.643847568664420666e-02,-7.018304684399642168e-01,7.101323959975788247e-01
-1.780556678771972656e+00,5.661901473999023438e+00,6.735508441925048828e+00,-3.276042386816931801e-02,4.631065573990626738e-02,-7.000507208607310572e-01,7.118364963608847518e-01
